2ME Special Engineering B.V.,1671 NC
De Vaart Yachting B.V.,8243 RD
De Valk Amsterdam B.V.,1231 LM
De Valk Group B.V.,1231 LM
De Valk Hindeloopen B.V.,8713 JS
De Valk Loosdrecht B.V.,1231 LM
De Valk Monnickendam B.V.,1145 PM
De Valk Sneek B.V.,8606 KC
De Valk Zeeland,4697 RM
De Velde Jachtbetimmering,8356 VJ
De Voogt Naval Architects B.V.,2014 HT
De Vries Scheepsbouw Makkum B.V.,8754 HA
De Vries Westeinder B.V.,1423 SE
De Waal BV,4251 NL
De Waal BV,4251 NL
De Wijkse Haven,3961 AA
De Witte Boulevard,4325 BH
De Zeezeilers van Marken,8861 CK
De Zuidschor Watersport B.V.,4471 NG
Deba Marine B.V.,6916 KC
Deep Water Yachts,2514 HP
Dekker Scheepvaart C.V.,7887 TK
Deko Marine B.V.,8242 PE
Delfborg C.V.,9934 CK
Delmar Safety BV,3194 DL
Delmar Safety BV,3194 DL
Deloitte,3072 AP
Deloitte Accountants B.V.,9728 JR
Delos Yachtcharter,3411 WG
Delta Boat Center B.V.,3253 ME
Delta Marina B.V.,4484 NV
Delta Marine Crewing B.V.,4382 WX
Delta Marine Shipping C.V.,9936 GZ
Delta Watersport,3253 ME
Delta Yacht,4486 CZ
Deltares,2629 HD
Demarage Zeilcentrum,3085 ED
Den Daas Recreatie Beheer B.V.,6661 KG
Den Helder Training Centre B.V.,1786 PE
Den Otter Sailing,3181 PE
Deno Compressors BV,2921 LP
Deno Compressors BV,2921 LP
Deno Compressors BV,2921 LP
Det Norske Veritas B.V.,2994 LB
Dhatec BV,5571 SK
DHTC BV,1786 PE
Dick van der Kamp Shipsales B.V.,3214 AP
Dintelmond Jachtcentrum B.V.,4794 SN
"Dirkzwager, Royal",3140 AA
"Dirkzwager, Royal",3140 AA
DISA Nederland BV,1973 AM
Discom BV,2952 AT
Discom BV,2952 AT
Discom BV,2952 AT
Distixx BV,2495 AX
Dive Post Dive-Equipment V.O.F.,2235 CN
DNV GL,2994 LB
Dockadd,1081 KD
Dockwise BV,4822 NJ
Dockwise Shipping B.V.,4822 NJ
Doedijns BV,2741 PH
Doeve Makelaars & Taxateurs Jachten en Schepen V.O.F.,3133 AV
Dometic  Benelux BV,4879 NP
Donge Flushing Yard BV,4460 AE
Donge Flushing Yard BV,4460 AE
Doornbos Equipment BV,3044 AH
